id;name;name_en;name_ru
1;Albania;Albania;Албания
2;Andorra;Andorra;Андорра
3;Austria;Austria;Австрия
4;Belarus;Belarus;Беларусь
5;Belgium;Belgium;Бельгия
6;Bosnia and Herzegovina;Bosnia and Herzegovina;Босния и Герцеговина
7;Bulgaria;Bulgaria;Болгария
8;Croatia;Croatia;Хорватия
9;Cyprus;Cyprus;Кипр
10;Czech Republic;Czech Republic;Чешская Республика
11;Denmark;Denmark;Дания
12;Estonia;Estonia;Эстония
13;Finland;Finland;Финляндия
14;France;France;Франция
15;Germany;Germany;Германия
16;Gibraltar;Gibraltar;Гибралтар
17;Greece;Greece;Греция
18;Guernsey;Guernsey;Гернси
19;Hungary;Hungary;Венгрия
20;Ireland;Ireland;Ирландия
21;Isle of Man;Isle of Man;Остров Мэн
22;Italy;Italy;Италия
23;Jersey;Jersey;Джерси
24;Latvia;Latvia;Латвия
25;Liechtenstein;Liechtenstein;Лихтенштейн
26;Lithuania;Lithuania;Литва
27;Luxembourg;Luxembourg;Люксембург
28;Macedonia;Macedonia;Македония
29;Malta;Malta;Мальта
30;Moldova;Moldova;Молдова
31;Monaco;Monaco;Монако
32;Montenegro;Montenegro;Черногория
33;Netherlands;Netherlands;Нидерланды
34;Norway;Norway;Норвегия
35;Poland;Poland;Польша
36;Portugal;Portugal;Португалия
37;Romania;Romania;Румыния
38;Russian Federation;Russian Federation;Российская Федерация
39;San Marino;San Marino;Сан-Марино
40;Serbia;Serbia;Сербия
41;Slovakia;Slovakia;Словакия
42;Slovenia;Slovenia;Словения
43;Spain;Spain;Испания
44;Sweden;Sweden;Швеция
45;Switzerland;Switzerland;Швейцария
46;Syrian Arab Republic;Syrian Arab Republic;Сирийская Арабская Республика
47;Turkey;Turkey;Турция
48;Ukraine;Ukraine;Украина
49;United Kingdom;United Kingdom;Великобритания
50;United States;United States;Соединенные Штаты
51;Vatican;Vatican;Ватикан
